exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,profile_url,event_date,event_venue,source_url,source_year,organization_id
eQ-3 AG,eq-3.de,+49 491 6008600,support@eq-3.de,"Maiburger Straße 29, 26789, Leer, Germany",Germany,Hall B7 | P06,"eQ-3 zählt zu den führenden Technologieanbietern auf dem europäischen Smart-Home-Markt und verfügt über eines der industrieweit breitesten Smart-Home-Portfolios. Als Teil der inhabergeführten ELV-eQ-3-Unternehmensgruppe mit Sitz in Leer, Niedersachsen, setzen wir seit über 45 Jahren auf Erfahrung, Qualität und Innovation. Mehr als 1.000 Kolleginnen und Kollegen weltweit, eigene Entwicklung und Produktion sowie ein moderner, cloudorientierter Betriebs- und Serviceansatz machen uns mit unserer Produktlinie Homematic IP zu einem der Vorreiter für smartes Wohnen und intelligente Gebäudesteuerung. Die Herstellung unserer Produkte erfolgt in unserem konzerneigenen Werk in Zhuhai, das mit Bestnoten im BSCI-Audit zur Corporate Social Responsibility sowie Zertifizierungen nach ISO 14001 und ISO 9001 für das Umwelt- und Qualitätsmanagement überzeugt. Zu unserer Unternehmensgruppe zählen neben eQ-3 auch der auf Smart Home spezialisierte E-Commerce-Anbieter ELV Elektronik, Timemaster mit einem professionellen Angebot für digitale Zeiterfassung sowie dnt Innovation, die unsere Kompetenzen im Bereich Smart-City- und IoT-Lösungen ergänzt.",,Leer,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--eQ-3-AG--135091,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,135091
ERCO Leuchten GmbH,erco.com,+49 2351 551100,info.de@erco.com,"Brockhauser Weg 80 - 82, 58507, Lüdenscheid, Germany",Germany,Hall B6 | 386,"ERCO is a leading international specialist in efficient architectural lighting using LED technology. The family-owned company, headquartered in Lüdenscheid, is represented worldwide by its own sales organizations and partner networks in approximately 55 countries. The company develops and manufactures innovative lighting solutions for buildings, offices, museums, public spaces, and outdoor areas. Founded in 1934, ERCO helped establish the new field of architectural lighting in Europe during the 1960s. In 2015, the company became the first traditional lighting manufacturer to offer a product line based entirely on LED technology. With ERCO Greenology®, the company’s strategy for sustainable lighting, ERCO combines environmental responsibility with technological expertise. The approximately 1,000 employees worldwide are committed to ensuring that LED technology does not remain merely a technology, but is further developed into sustainable lighting tools.",,Lüdenscheid,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ERCO-Leuchten-GmbH--131299,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131299
Ernst Dello GmbH & Co. KG,dello-gruppe.de,+49 40 4712-0,info@dello-gruppe.de,"Nedderfeld 91, 22529, Hamburg, Germany",Germany,Hall B4 Ground floor | 209,,,Hamburg,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Ernst-Dello-GmbH-Co-KG--131610,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131610
ESA Elektroschaltanlagen Grimma GmbH,esa-grimma.de,+49 3437 9211-0,info@esa-grimma.de,"Broner Ring 30, 04668, Grimma, Germany",Germany,Hall B7 | 482,"ESA Grimma is a growing medium-sized company in the electrical industry, located in Saxony. With our personnel and technical expertise, we are able to implement even complex large-scale projects in the shortest possible time.",,Grimma,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ESA-Elektroschaltanlagen-Grimma-GmbH--136360,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,136360
ESBE GmbH,esbe.de,+49 8131 996670,marketing.de@esbe.eu,"Newtonstraße 14, 85221, Dachau, Germany",Germany,Hall A4 | 101,"ESBE – Swedish hydronic solutions since 1906 ESBE is a leading European manufacturer of components for heating, cooling, and potable water systems. Our products are developed and manufactured at our headquarter in the Swedish town of Reftele with three ambitious goals in mind. The aim is to reduce energy consumption, increase comfort, and optimize system safety. Although our products typically operate in the background, we place great emphasis on sustainable production, functionality, and reliability. Sustainable thinking ESBE thinks ahead - beyond technology. The concept of sustainability has been deeply rooted in ESBE’s history for over 100 years. Production runs on 100% green electricity; our plants use solar and wind energy, and packaging is optimized to conserve resources. Even in its products, ESBE relies on durable materials and increasingly lead-free, recyclable components. ESBE stands for forward-thinking solutions that prioritize both comfort and the environment.",,Dachau,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ESBE-GmbH--137361,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,137361
Esders GmbH,esders.com,+49 5961-9565-0,info@esders.de,"Hammer-Tannen-Straße 26-30, 49740, Haselünne, Germany",Germany,Hall B4 Ground floor | 206,"Test and measurement technology – Made in Germany Since 1989, we have been developing measurement and instrumentation technology, software and system solutions in north-western Germany for the gas and biogas sectors as well as for the water and wastewater sectors for utilities, pipeline builders, installers, service providers and industry. We manufacture in Germany and are certified according to ISO 9001 and ATEX 2014/34/EU. We offer a range of state-of-the-art system solutions for fast workflows and the documentation of measurements.",,Haselünne,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Esders-GmbH--131395,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131395
ESYLUX Deutschland GmbH,esylux.de,+49 4102 489-0,info@esylux.de,"An der Strusbek 40, 22926, Ahrensburg, Germany",Germany,Hall B5 | 335,"ESYLUX entwickelt, produziert und vertreibt intelligente Automations- und Lichtlösungen für mehr Lebensqualität und Energieeffizienz in Bürogebäuden, Bildungsstätten und Gesundheitseinrichtungen. Im Mittelpunkt stehen die Wünsche und Bedürfnisse des einzelnen Menschen. Dabei legt das Unternehmen besonderen Wert auf eine einfache Anwendung seiner Produktlösungen. Großhändler, Installationsbetriebe, Elektro- und Lichtplaner sowie Architekten vertrauen als Kunden und Partner auf über 55 Jahre Markterfahrung sowie auf eine persönliche Fachberatung durch die ESYLUX-Experten. Mit der Forschung, Entwicklung und Produktion am deutschen Standort in Ahrensburg erfüllt der Hersteller zudem höchste Qualitätsansprüche. Der Vertrieb ist global: ESYLUX arbeitet mit erfahrenen Handelsunternehmen zusammen und ist in Europa, Asien und Ozeanien mit zahlreichen Vertriebsgesellschaften vertreten.",,Ahrensburg,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ESYLUX-Deutschland-GmbH--131486,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131486
ETA Heiztechnik GmbH,eta.co.at,+43 7734 2288,messe@eta.co.at,"Gewerbepark 1, 4716, Hofkirchen an der Trattnach, Austria",Austria,Hall A1 | 270,"Ganz gleich ob Pellets, Stückholz, Hackgut oder eine Kombination – ETA bietet Ihnen maßgeschneiderte Heizlösungen von 7 bis 500 kW. Wir haben die passende Lösung für Ihre Anforderungen. Sei es ein Einfamilienhaus oder eine große Fernwärmeanlagen - verlassen Sie sich auf modernste Technik, höchste Effizienz und individuelle Beratung durch unsere erfahrenen Experten.",,Hofkirchen an der Trattnach,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ETA-Heiztechnik-GmbH--131232,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131232
EVN Lichttechnik GmbH,evn-lichttechnik.com,+49 9187 9709-0,info@evn-lichttechnik.com,"Zum Lichtblick 1-12, 90610, Winkelhaid, Germany",Germany,Hall B7 | 113,"Seit über 34 Jahren bietet EVN Lichtlösungen für das Wohnlicht an. Alles an Licht im und ums Haus herum, wie auch Wegeleuchten, Bodeneinbauleuchten und Gartenbeleuchtung. EVN der Spezialist für lineares Licht. Eine breite und tiefe Auswahl von LED-Streifen, passenden Profile und Netzteile. Seit ca. 4 Jahren bedienen wir erfolgreich das Segment technisches Licht und Office-Beleuchtung. Vor allem ist EVN stark im Bereich der SANIERUNG. Die Produkte sind sehr gut passend für die Sanierung von: - Pflegeheimen - Krankenhäuser - kommunale Gebäude und Schulen - Behörden - Industrie - Verwaltung Ob Sanierung oder Neubau, EVN hat die passenden Leuchten mit hoher Effizienz und Lebensdauer. Im Projektbereich ist die langjährige Erfahrung und breites Spektrum an Möglichkeiten für Sonderlösungen, der Garant für ein erfolgreiches Projekt. EVN Lichttechnik, das Inhaber geführte Familienunternehmen in der zweiten Generation, ist Ihr Partner für Lösungen und Umsetzungen in Ihrem LICHT-Projekt. Besuchen Sie uns!",,Winkelhaid,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--EVN-Lichttechnik-GmbH--131350,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131350
f-tronic GmbH,f-tronic.de,+49 6893 9483-0,info@f-tronic.de,"Zum Gerlen 21 - 25, 66131, Saarbrücken, Germany",Germany,Hall B5 | 340,"f-tronic stands for innovation, quality and customised solutions in electrical installation. The company is one of the leading manufacturers of electrical installation solutions and offers a wide-ranging portfolio in the areas of meter cabinet systems and installation systems. The range of meter cabinet systems includes meter cabinets, transformer systems, meter connection columns, distribution cabinets and field distributors. With the f-tronic Experts service, the company offers an all-round carefree package: from planning and pre-wiring through to fully installed systems - customised and delivered ready for use. In the field of installation systems, f-tronic® offers a versatile range of products, including installation boxes, fire protection systems, fixing materials and small distributors. With a comprehensive range of products, the company serves both wholesalers and industry, while maintaining a close dialogue with the electrical trade. As a Europe-wide supplier, f-tronic is represented in numerous countries and continues to set new standards with innovative products and customer-orientated solutions. The company's success is based on innovative strength, customer proximity and the aspiration to always develop the best products and services.",,Saarbrücken,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--f-tronic-GmbH--131204,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131204
Fachverband Sanitär Heizung Klima Schleswig-Holstein,installateur-sh.de,+49 431 98169-0,installateur@bf-handwerk.de,"Rendsburger Landstraße 211, 24113, Kiel, Germany",Germany,Hall B6 | 662,,,Kiel,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Fachverband-Sanit-r-Heizung-Klima-Schleswig-Holstein--131633,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131633
"Fachverband Sanitär-, Heizungs- und Klimatechnik Mecklenburg-Vorpommern",installateur-mv.de,+49 385 63647-0,mv@installateur-mv.de,"Ellerried 1, 19061, Schwerin, Germany",Germany,Hall B6 | 662,,,Schwerin,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Fachverband-Sanit-r-Heizungs-und-Klimatechnik-Mecklenburg-Vorpommern--131629,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131629
"Fachverband Sanitär-, Heizungs-, Klima- und Klempnertechnik Niedersachsen",fvshk-nds.de,+49 511 87973-0,info@fvshk-nds.de,"Birkenstraße 28, 30880, Laatzen, Germany",Germany,Hall B6 | 662,Der Fachverband SHK Niedersachsen ist der Landesinnungsverband mit 50 angeschlossenen Innungen und etwa 2.200 Mitgliedsbetrieben im Bundesland Niedersachsen.,,Laatzen,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Fachverband-Sanit-r-Heizungs-Klima-und-Klempnertechnik-Niedersachsen--131634,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131634
Fachverband SHK Bremen Kreishandwerkerschaft Bremen,shk-bremen.de,+49 421 22280600,info@shk-bremen.de,"Martinistraße 53 - 55, 28195, Bremen, Germany",Germany,Hall B6 | 662,,,Bremen,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Fachverband-SHK-Bremen-Kreishandwerkerschaft-Bremen--131630,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131630
Feilo Sylvania Germany GmbH,sylvania-group.com,+49 9131 7930,info.de@sylvania-lighting.com,"Graf-Zeppelin Straße 9, 91056, Erlangen, Germany",Germany,Hall B7 | 240,"About the Sylvania Group The Sylvania Group is one of the leading players in the global lighting market. With more than 120 years of experience, the company develops, manufactures and distributes innovative, sustainable and digital lighting solutions for professional users and end consumers. The Group supports its customers with a comprehensive range of services throughout all project phases. Today, the Sylvania Group employs more than 1,200 staff and is represented in over 50 countries worldwide. Its European production sites enable the manufacture of both standardised and bespoke solutions, whilst also helping to reduce its environmental footprint. In 2024, the Sylvania Group was awarded EcoVadis Silver Status in recognition of its commitment to sustainability and social responsibility. The Group’s innovative strength and technical expertise are reflected in its renowned brands, Sylvania and Concord. The company’s mission centres on energy efficiency, sustainable development, digitalisation, well-being and the highest quality of light. As the Group’s flagship brand, Sylvania looks back on more than a century of experience. The company has made a name for itself particularly in the office and education sectors, industry and logistics, and the hospitality industry, combining high-performance lighting solutions with a broad product portfolio and a commitment to environmental responsibility. For over 60 years, the Concord brand has stood for high-quality architectural lighting in galleries, museums and the retail sector. Its products are internationally recognised for their outstanding design and technical performance. With a broad portfolio of technical and connected luminaires, the Sylvania Group offers specialist users efficient solutions for sustainably reducing energy consumption. The company is also setting the pace with its intelligent technology platform, SylSmart Connected Pro, which is defining new standards in digital lighting control. The platform stands for connected, future-oriented lighting solutions that combine efficiency, comfort and sustainability. As a digital expert, the Sylvania Group is shaping the lighting world of tomorrow – intelligent, scalable and intuitively controllable.",,Erlangen,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Feilo-Sylvania-Germany-GmbH--131447,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131447
FENECON GmbH,fenecon.de,+49 9903 6280 0,info@fenecon.de,"Gewerbepark 6, 94547, Iggensbach, Germany",Germany,Hall B2 Ground floor | 211,"FENECON is a leading hardware and software specialist for energy storage solutions serving the Residential, Commercial, and Industrial sectors. All storage systems are powered by FENECON’s internally developed energy management system, FEMS, which plays a central role in shaping OpenEMS – the world’s most successful open-source energy management platform. The company’s broad range of FEMS applications enables grid-supportive energy management and intelligent sector coupling that actively contributes to the energy transition. The expert in energy storage and energy management ranks among the industry’s top innovators and is committed to a future powered entirely by renewable energy. FENECON’s performance, flexibility, and innovative strength are reflected in numerous industry awards. The company was named “Innovator of the Year” in the TOP 100 competition for German SMEs in 2023, 2024, and 2025. Further recognitions in 2025 include: The smarter E Award in the “Smart Integrated Energy” category for FEMS; the Top Innovation Award from EUPD Research; and the SolarProsumerAward 2024/2025 from EUPD Research in the HEMS and Storage categories. In 2024, FENECON received the Bavarian SME Award and BAYERNS BEST 50 Award. In 2023, accolades included the EY Entrepreneur Of The Year Award, the ees Award for the FENECON Industrial L storage system, and the EM-Power Award for the rental storage offering of its subsidiary FERESTO.",,Iggensbach,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--FENECON-GmbH--131206,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131206
FILOform GmbH,filoform.com,+49 7741 9225-0,kontakt@filoform.com,"Kupferschmidstraße 86, 79761, Waldshut-Tiengen, Germany",Germany,Hall B7 | 131,"FILOform is a leading provider of high-quality, innovative solutions for connecting, sealing, and protecting underground cable networks. The company develops tailored products designed to meet the specific requirements of network operators across various industries. With an in-house R&D department and state-of-the-art testing facilities, FILOform is equipped to fulfill custom specifications and manufacture bespoke products. The markets served by FILOform include energy, telecommunications, traffic engineering, fiber optics, rail infrastructure, construction, gas, water, and industrial applications. Offering a comprehensive product portfolio and a strong focus on innovation, FILOform is a trusted partner for ensuring the safety and efficiency of communication and utility networks.",,Waldshut-Tiengen,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--FILOform-GmbH--131391,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131391
Fima Carlo Frattini,fimacf.com,+49 173 3410803,info@fimacf.com,"Via Borgomanero, 105, 28010, Briga Novarese (NO), Italy",Italy,Hall B6 | 612,"Fima ist der einzige Armaturenhersteller, der seit über 21 Jahren ausschließlich die Partnerschaft mit dem Handwerk im Fokus hat. Armaturen, Brausen, Accessoires und WC Drückerplatten optimal im Design und Farbe abgestimmt. Chrom 3 mit der korrosionsbeständigsten Oberfläche, wie ich verschiedenste PVD-Oberflächen gehören bei Fima zur Selbstverständlichkeit.",,Briga Novarese (NO),https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Fima-Carlo-Frattini--131604,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131604
FiSCHERAkkumulatorentechnik GmbH,akkufischer.de,02131523100,info@akkufischer.de,"Im Taubental 41, 41468, Neuss, Germany",Germany,Hall B6 | 384,"FiSCHER – Sicherheitsbeleuchtung einfach gedacht FiSCHER Akkumulatorentechnik entwickelt und produziert seit über 50 Jahren innovative Lösungen für die Not- und Sicherheitsbeleuchtung. Als deutscher Hersteller verbinden wir hochwertige Sicherheits- und Rettungszeichenleuchten mit intelligenten Überwachungs- und Versorgungssystemen – von der einzelnen selbstversorgten Leuchte bis zu zentralen Zentralbatterie-Systemen. Unser Anspruch: Sicherheitsbeleuchtung einfach machen. Deshalb entwickeln wir Lösungen, die Planern, Elektroinstallateuren und Betreibern die Planung, Installation, Inbetriebnahme und den Betrieb von Sicherheitsbeleuchtungsanlagen erleichtern. Unser Portfolio umfasst ein breites Spektrum an Sicherheits- und Rettungszeichenleuchten sowie unterschiedliche Technologien für nahezu jede Projektgröße. Dazu gehören selbstversorgte Leuchten mit automatischer Überwachung ebenso wie zentrale LPS uns CPS Systeme. Mit easy-NB vernetzen wir selbstversorgte Leuchten über Mobilfunk. Die Kommunikation erfolgt über NB-IoT und ermöglicht eine zentrale Überwachung über die Cloud – ohne Einbindung in die vorhandene Gebäude-IT. Prüfungen, Statusinformationen und Störungen lassen sich komfortabel verwalten und dokumentieren. Für größere und komplexere Projekte bietet FiSCHER mit INSiLIA2 ein modernes 48-V-LPS-System. Ergänzt wird das Portfolio durch ZB2 für zentral versorgte Sicherheitsbeleuchtungsanlagen sowie weitere Lösungen für unterschiedliche Anforderungen an Überwachung, Vernetzung und Betrieb. Neben der Technik begleiten wir unsere Kunden über den gesamten Lebenszyklus einer Anlage: von Beratung und normgerechter Planung über Inbetriebnahme bis zu Wartung und Service. So entstehen Lösungen, bei denen Leuchten, Versorgung, Überwachung und Dienstleistungen optimal zusammenspielen. Auf der GET Nord zeigen wir, wie moderne Sicherheitsbeleuchtung heute geplant, installiert und betrieben werden kann – digital, intelligent und vor allem einfach. …sicher mit FiSCHER",,Neuss,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--FiSCHERAkkumulatorentechnik-GmbH--131224,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131224
FKR Krefeld Regeltechnik KG,fkr.de,+49 2151 5196-0,krefeld@fkr.de,"Adolf-Dembach-Straße 11, 47829, Krefeld, Germany",Germany,Hall A1 | 115,Die FKR REGELTECHNIK KG ist als Fachgroßhandel persönlicher Ansprechpartner bei allen Themen rund um die Haus- und Gebäudeautomation. Mit unserer Expertise und Leidenschaft für die Welt der Regeltechnik begeistern wir als verlässlicher Partner vor Ort. Unsere Kunden profitieren von einem starken Team in einem bundesweit einzigartigen Netzwerk mit einem außergewöhnlichen Sortiment sowie lokalen und digitalen Serviceleistungen. Mit unseren logistischen Stützpunkten und Partner eines starken Netzwerks sind wir deutschlandweit unterwegs.,,Krefeld,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--FKR-Krefeld-Regeltechnik-KG--133793,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,133793
FLIR Systems GmbH,teledyneflir.com,+49 69 808849800,info@flir.de,"Berner Straße 81, 60437, Frankfurt am Main, Germany",Germany,Hall B7 | 318,,,Frankfurt am Main,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--FLIR-Systems-GmbH--158129,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,158129
Fluke Deutschland GmbH,fluke.de,+49 160 95710590,info@de.fluke.nl,"In den Engematten 14, 79286, Glottertal, Germany",Germany,Hall B5 | 258,"Fluke is a global leader in electronic test and measurement technology, trusted by electrical professionals, industrial maintenance teams, and facility managers worldwide. Our solutions help customers improve safety, reliability, energy efficiency, and productivity across electrical installations, industrial systems, and building infrastructure. At GET NORD, Fluke will showcase innovative tools for electrical testing, thermal imaging, power quality analysis, installation verification, predictive maintenance, and energy management. From troubleshooting and commissioning to ongoing maintenance and compliance, Fluke helps professionals make informed decisions with confidence.",,Glottertal,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Fluke-Deutschland-GmbH--131602,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131602
FLUOLITE Licht und Leuchten GmbH & Co. KG,fluolite.de,+49 7542 517-0,info@fluolite.de,"Prinz-Eugen-Straße 21, 88069, Tettnang, Germany",Germany,Hall B6 | 393,,,Tettnang,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--FLUOLITE-Licht-und-Leuchten-GmbH-Co-KG--156599,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,156599
Frank GmbH,frank-gmbh.de,+49 6105 4085-0,info@frank-gmbh.de,"Starkenburgstraße 1, 64546, Mörfelden-Walldorf, Germany",Germany,Hall A1 | 530,,,Mörfelden-Walldorf,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Frank-GmbH--131436,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131436
Frico Burda GmbH,frico.net,+49 69 50702220,info@frico.net,"Berner Straße 76, 60437, Frankfurt, Germany",Germany,Hall A1 | 310,"Frico is the leading provider of air curtains, radiant heaters, and fan heaters in Europe, represented through our subsidiaries, sister companies, and specialized dealers in more than 70 countries. The headquarters of the company, which was founded in 1932 as Friberg & Co, is located in Gothenburg, Sweden. Within the Systemair Group, one of the leading manufacturers in ventilation and air conditioning technology, Frico has served as the center of excellence for the heating product group for more than 30 years. In Germany, Frico is represented by Frico Burda GmbH, based in Frankfurt am Main and Dörzbach.",,Frankfurt,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Frico-Burda-GmbH--131614,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131614
FRITZ! GmbH,fritz.com,+49 30 399760,info@fritz.com,"Alt-Moabit 95, 10559, Berlin, Germany",Germany,Hall B7 | 481,"FRITZ! is one of the leaders in Europe when it comes to broadband internet and digital home solutions. FRITZ! products are very easy to use and stand for innovation and versatility: Whether it's fast internet access, easy networking, powerful Wi-Fi, convenient telephony or clever smart home applications — FRITZ! connects you simply and reliably. The FRITZ!OS software regularly offers new features and keeps all products up-to-date and secure for many years. Behind FRITZ! products stands the manufacturer FRITZ! (formerly AVM), which has been developing all products at its Berlin location and producing them in Europe since 1986. In 2025, the company had 925 employees and generated a turnover of 630 million euros.",,Berlin,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--FRITZ-GmbH--131236,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131236
Fronius Deutschland GmbH,fronius.com,+49 6655 916940,sales.germany@fronius.com,"Fronius Straße 1, 36119, Neuhof-Dorfborn, Germany",Germany,Hall B2 Ground floor | 208,"Fronius is a global corporation specializing in welding technology, photovoltaics, and battery charging technology. Since 1945, we have been developing solutions that stand for quality, reliability, and durability. With around 6,500 employees in 37 subsidiaries, we focus on innovation and sustainability in order to provide our customers around the world with the best possible products and services. Guided by the principle of “Connecting what matters”, we connect people, materials, and energy to build a safe and sustainable world.",,Neuhof-Dorfborn,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Fronius-Deutschland-GmbH--131400,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131400
FRÄNKISCHE Rohrwerke Gebr. Kirchner GmbH & Co. KG,fraenkische.com,+49 9525 880,info@fraenkische.de,"Hellinger Straße 1, 97486, Königsberg, Germany",Germany,Hall B5 | 240,,,Königsberg,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--FR-NKISCHE-Rohrwerke-Gebr-Kirchner-GmbH-Co-KG--131337,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131337
FRÄNKISCHE Rohrwerke Gebr. Kirchner GmbH & Co. KG,fraenkische.com,+49 9525 880,info@fraenkische.de,"Hellinger Straße 1, 97486, Königsberg, Germany",Germany,Hall B7 | P50,"Die Fragen unserer Zeit im sicheren Umgang mit essentiellen Ressourcen für eine lebenswerte Umgebung fordern uns alle heraus: Trinkwasserhygiene, Verkehrswende, Digitalisierung und die Folgen der Urbanisierung sind Themen, die uns täglich bewegen. Für diese wichtigen Fragestellungen in unserer modernen, vernetzten Gesellschaft liefern wir als FRÄNKISCHE innovative Rohrsysteme und Systemlösungen. In unserem Fokus liegt das effektive Regenwassermanagement ebenso wie die zukunftsfähige Leitungsinfrastruktur für die Versorgung mit konventioneller und erneuerbarer Energie, für Elektromobilität und Datenübertragung sowie der sichere Transport von Trinkwasser und die Schaffung von gesundem Raumklima und optimaler Wärme in Gebäuden. Wir leisten einen wesentlichen Beitrag für den sicheren Umgang mit essenziellen Ressourcen - Wasser, Strom, Daten, Luft und Wärme.",,Königsberg,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--FR-NKISCHE-Rohrwerke-Gebr-Kirchner-GmbH-Co-KG--138284,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,138284
