exhibitor_name,domain,contact_number,mail,location,country,description,profile_url,published_at,source_year
Privacy Culture,privacyculture.com,+44 (0) 20 7112 9360,,,,"1 Comment The first People-First Privacy Platform that puts people at the heart of privacy. Privacy Culture helps organisations build trust through expert privacy services supported by powerful technology. Our work begins with people, not platforms. We provide privacy professionals with practical, flexible support through our Privacy Operations Centre (POC) — delivering outsourced privacy management, DPO support, DSAR handling, and privacy as a service. Our legally trained consultants work as an extension of your team, helping you stay compliant, reduce risk, and manage privacy confidently every day. To make this work faster and smarter, we use our Privacy Culture Platform — a simple, integrated privacy management platform that gives you one clear view of your privacy position. It connects GDPR compliance tools, data mapping, risk dashboards, ROPAs, DSAR workflows, and assessments into one place. The Platform automates reporting, improves visibility, and lets your team focus on what matters. Our combination of service and software is built for overworked, under-resourced privacy teams who need more than tools — they need a partner who gets it. We make privacy human, measurable, and cultural, helping every employee understand their role in protecting data. Based in London, we work across the UK, EU, and globally, delivering practical, people-first data protection solutions that create real trust, resilience, and compliance that lasts. Privacy Culture — expert people, powerful software, lasting impact. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/privacy-culture/10943.article,2026-09-18T05:25:00+01:00,2026
Privacy Culture,privacyculture.com,+44 (0) 20 7112 9360,dpo@privacyculture.com,,,"No comments The first People-First Privacy Platform that puts people at the heart of privacy. Privacy Culture helps organisations build trust through expert privacy services supported by powerful technology. Our work begins with people, not platforms. We provide privacy professionals with practical, flexible support through our Privacy Operations Centre (POC) — delivering outsourced privacy management, DPO support, DSAR handling, and privacy as a service. Our legally trained consultants work as an extension of your team, helping you stay compliant, reduce risk, and manage privacy confidently every day. To make this work faster and smarter, we use our Privacy Culture Platform — a simple, integrated privacy management platform that gives you one clear view of your privacy position. It connects GDPR compliance tools, data mapping, risk dashboards, ROPAs, DSAR workflows, and assessments into one place. The Platform automates reporting, improves visibility, and lets your team focus on what matters. Our combination of service and software is built for overworked, under-resourced privacy teams who need more than tools — they need a partner who gets it. We make privacy human, measurable, and cultural, helping every employee understand their role in protecting data. Based in London, we work across the UK, EU, and globally, delivering practical, people-first data protection solutions that create real trust, resilience, and compliance that lasts. Privacy Culture — expert people, powerful software, lasting impact. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/privacy-culture/10920.article,2026-09-07T07:41:00+01:00,2026
QALA AG,letsqala.com,,hello@letsqala.com,,,"No comments The Governance Control Plane for Software Engineering Modern organizations no longer operate in static environments. Data continuously moves across engineering systems, cloud infrastructure, APIs, third parties, and increasingly AI workflows. Yet most governance and security models still rely on periodic audits, static documentation, and manual evidence collection. Qala AI is the Governance Control Plane for Software Engineering. We help organizations continuously reconcile governance intent with real engineering implementation and runtime behaviour - providing provable visibility into how sensitive data is actually handled across modern systems. Our platform enables security, governance, and engineering teams to: Continuously validate controls Detect operational drift Trace sensitive data flows Improve AI and third-party governance Reduce blind spots across distributed systems Move from assumptions to continuous evidence Because controls on paper are not the same as controls in production. The AI era is accelerating system complexity, data movement, and governance risk. Traditional governance models were not designed for this reality. Qala was built for it. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/qala-ag/10866.article,2026-08-18T09:43:00+01:00,2026
Rapid7,rapid7.com,1-866-390-8113,,,,"No comments The Preemptive MDR Leader that Outpaces Attackers Rapid7, Inc. (NASDAQ: RPD) is a global leader in AI-powered managed cybersecurity operations, trusted to advance organizations’ cyber resilience. Open and extensible, the Rapid7 Command Platform integrates security data, enriching it with AI, threat intelligence, and 25 years of expertise and innovation to reduce risk and disrupt attackers. As a recognized leader in preemptive managed detection and response (MDR), Rapid7 unifies exposure and detection to transform the cybersecurity operations of more than 11,500 customers worldwide. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/rapid7/10917.article,2026-09-03T05:18:00+01:00,2026
Resolver,resolver.com,,,,,"No comments Resolver gathers all risk data and analyzes it in context—revealing the true business impact within every risk. Our mission is simple: we will transform how your organization thinks about Risk. Our cloud-based software protects over 1,000 of the world’s largest organizations’ employees, customers, supply chain, brand and shareholders. Resolver gathers all risk data and analyzes it in context—revealing the true business impact within every risk. Resolver’s Risk Intelligence Platform traces the extended impact of all types of risk—whether compliance or audit, incidents, or threats—and translates those effects into quantifiable business metrics. So, customers can communicate risk persuasively, framing it in terms of the business. And with this changed perspective, comes an entirely new role for risk to play. Finally, risk goes from being seen as a barrier, to becoming a strategic partner driving the business. Welcome to the new world of Risk Intelligence. Aligned with our mission to transform Risk Management to Risk Intelligence, Resolver became a Kroll Company through acquisition by Kroll in 2022. Kroll provides proprietary data, technology, and insights to help clients stay ahead of complex demands related to risk, governance, and growth. Kroll solutions deliver a powerful competitive advantage, enabling faster, smarter, and more sustainable decisions. With 5,000 experts around the world, Kroll creates value and impact for clients and their communities. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/resolver/10867.article,2026-08-18T09:52:00+01:00,2026
Riskonnect,riskonnect.com,17707904700,info@riskonnect.com,,,"No comments Riskonnect is the leading integrated risk management software solution provider. Our technology empowers organisations with the ability to anticipate, manage, and respond in real time to strategic and operational risks across the extended enterprise. More than 2,700 customers across six continents use our unique risk-correlation technology to gain previously unattainable insights that deliver better business outcomes. Riskonnect has more than 1,100 risk management experts in the Americas, Europe, and Asia. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/riskonnect/10868.article,2026-08-18T09:54:00+01:00,2026
RiskSmart,risksmart.com,,,,,"No comments See risk clearly. Manage it smartly. Build resilience, centralise your work, and unlock your risk team’s potential. There simply isn’t an easier way to manage risk. RiskSmart is a technology company empowering risk and compliance teams. RiskSmart is a risk management platform that puts simplicity first. Whether you’re tired of spreadsheets, outgrowing your processes, or just want everything in one place, RiskSmart keeps you confident and compliant. Our game-changing platform and solutions simplify, centralise and digitalise risk management to increase confidence and business resilience. Helping to save time and cost by automating processes, ensuring you can focus on what you do best. Enabling smarter decisions through real-time insights and reporting. Risk made simple. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/risksmart/10869.article,2026-08-18T09:56:00+01:00,2026
SAI360,sai360.com,1-312-546-4500,,,,"No comments SAI360 helps organizations proactively manage risk to create trust and achieve business confidence, growth, and sustainability. We have a history rich in the development of innovative business solutions, and today this tradition of innovation continues with industry-leading products and solutions in our core business areas of risk management software, standards aggregation, regulatory content, ethics and compliance learning, risk assessments, certification, testing and audits. SAI360 is a recognized leading provider of integrated risk management solutions, assurance, and property services. We help organizations protect their brands by proactively managing risk to achieve business excellence, growth, sustainability, and trust. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/sai360/10870.article,2026-08-18T09:59:00+01:00,2026
Scytale,scytale.ai,,hi@scytale.ai,,,"No comments Full scope AI GRC platform that fast-tracks your compliance and real humans that do all the heavy lifting for you. Scytale is the only full-scope AI GRC platform with human experts that drive real compliance outcomes, from getting compliant to staying compliant, and building trust across every framework. Trusted by 1,000+ companies worldwide, we replace fragmented, point-in-time testing with continuous control visibility, automating evidence, controls, and risk management across 80+ security, privacy, and AI frameworks, including SOC 2, ISO 27001, HIPAA, GDPR, SOX ITGC,PCI DSS, NIST, and more. At the core of Scytale is a full suite of specialized compliance agents, built on the deepest GRC dataset in the industry, that run continuously across your environment, each owning a domain. They collect evidence, monitor controls, flag gaps, and trigger remediation without waiting to be asked. Everything you need to run your GRC program in one central hub: AI-native compliance, offensive security, and a trust center. Every framework. One platform. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/scytale/10871.article,2026-08-18T10:01:00+01:00,2026
SumSub,sumsub.com,,privacy@sumsub.com,"30 St. Mary Axe, EC3A 8BF +44 20 3882 7770, London, England, UK",United Kingdom,"No comments AI-powered trust infrastructure for compliance operations at scale Sumsub is the first AI-powered trust infrastructure for compliance operations at scale. By bringing together identity and business verification, fraud prevention, ongoing monitoring, and risk management in a single layer, Sumsub enables companies to streamline operations, adapt to evolving regulations, enter new markets, and grow securely. Its AI-powered compliance suite is built for online businesses, including highly regulated ones. With an AI Copilot, AI-powered decisioning, and MCP connectivity at its core, and pre-built AI Agentic skills, teams can build and adapt compliance workflows faster, from onboarding to ongoing monitoring, while keeping operations lean. Recognized as a Leader by Gartner, Forrester, IDC, Liminal, and KuppingerCole, Sumsub is trusted by over 4,000 clients across financial services, crypto, mobility, trading, marketplaces, education, and iGaming, including Bybit, Bitpanda, Wirex, Avis, Vodafone, Duolingo, Kaizen Gaming, and Bancaribe. Sumsub is an active thought leader in the global fight against fraud and financial crime, working with the UN, Statista, and INTERPOL, and a member of the World Economic Forum’s Unicorn Community since 2026 Through annual reports, original research, expert articles, and practical resources—including the Global Fraud Index and Fraud Report—Sumsub shares vital data and insights on emerging fraud and AML trends with businesses, regulators, and institutions worldwide. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/sumsub/10872.article,2026-08-18T10:04:00+01:00,2026
SureCloud,surecloud.com,,success@surecloud.com,,,"No comments Keep your business secure and compliant with SureCloud. Everything you need today and tomorrow, in our integrated GRC platform, that everyone can use. SureCloud GRC is built on our industry-first Dynamic Risk Intelligence technology, designed to empower you to proactively manage your GRC landscape by understanding the story within your data. This allows you to analyze, predict, and respond to risks before they become critical issues. The future of GRC delivered today. Our industry-first Dynamic Risk Intelligence technology enables you to be more proactive by revealing the full story and sequence of events across your programs with unparalleled visibility and certainty. It empowers you to anticipate and address potential risks before they escalate, ensuring you’re always ahead of risk and compliance challenges. Leveraging advanced event-driven architecture and event sourcing, SureCloud GRC captures and analyzes every detail in real-time, giving you the tools to take proactive control and provide long-term business assurance. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/surecloud/10890.article,2026-08-27T10:25:00+01:00,2026
The Association of Governance Risk & Compliance (AGRC),agrc.org,,info@agrc.org,,,"No comments Welcome to the Association of Governance, Risk & Compliance (AGRC), the fastest growing global community of GRC professionals. AGRC is a place for knowledge-exchange, professional networking and idea incubation. The Governance, Risk and Compliance (GRC) requirements are evolving at a pace that makes it challenging for professionals to follow and manage all aspects of this complex ecosystem. Our vision is to connect the GRC community, enabling professionals and organisations to operate successfully and with integrity in a reliable and forward-looking way within a regulated environment. We envision a GRC sector that is more welcoming and appealing for new professionals. Our values mark who we are as a global professional organisation. They define the way we collaborate and engage with our members, partners and civil society at large. We are strong advocates of innovation. Sharing our knowledge and best practices whilst building on our experience and expertise, we are devoted to bringing together governance, risk and compliance with disruptive sectors such as cybersecurity, fintech, artificial intelligence (AI), big data and blockchain. Our certification programs aim to raise the standards of ethics and integrity in the world of compliance, governance and risk, whilst boosting our industry’s knowledge and understanding of new technologies. These programs cover a wide range of topics including governance, risk management and compliance, all delivered by accredited training centres. We also provide a platform where professionals can network and share ideas with fellow colleagues from all over the world. By exchanging ideas and know-how, we identify trends and seek solutions. Being part of our GRC community gives you the opportunity to interact with like-minded professionals who strive for innovation and forward-thinking ideas. In a rapidly evolving international environment, we pride ourselves in our flexibility to meet the changing market requirements and trends. To this end, AGRC addresses the global community, uniting members from Europe, Africa, North and South America, Oceania and Asia. AGRC members are recognised for their commitment to best GRC practices and their enhanced integrity. Our membership provides you with a variety of tools and resources that will enhance your career. We are committed to lifelong learning. Join our GRC community and find out for yourself. Warm regards, Paul Grainger, Chairman Association of Governance, Risk & Compliance FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/the-association-of-governance-risk-and-compliance-agrc/10837.article,2026-08-17T16:05:00+01:00,2026
The DPO Centre,dpocentre.com,44(0)2037971289,hello@dpocentre.com,,,"No comments Reducing Risk Through Outsourced Data Protection The DPO Centre is the leading provider of fractional Data Protection Officer (DPO), privacy, and AI compliance services. We have one of the largest teams of DPOs, providing skilled and experienced GDPR and privacy compliance resources whenever and wherever it is needed. Having worked with over 1,000 clients across a wide range of sectors, our team of privacy professionals is uniquely equipped to deliver the knowledge and expertise our clients rely on to achieve compliance with confidence. Headquartered in London, we have offices in Toronto, New York, Dublin, Amsterdam, and a network of representation offices across all 27 EU Member States. Find out more",https://www.grcworldforums.com/risk-europe-exhibitors/the-dpo-centre/10792.article,2026-07-16T10:43:00+01:00,2026
The Institute of Strategic Risk Management (ISRM),theisrm.org,,admin@theisrm.org,,,"No comments Fostering global collaboration in strategic risk management, enhancing understanding and building networks. The Institute of Strategic Risk Management is a leading global centre for the promotion and sharing of best-practice strategic risk and crisis management capabilities and thought leadership amongst practitioners, academics, and policy makers. Across the Institute’s 35 Global Chapters, our Members and Fellows help progress and promote the underlying understanding and capabilities associated with strategic risk and crisis management, alongside developing their own personal and professional networks. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/the-institute-of-strategic-risk-management-isrm/10862.article,2026-08-18T09:34:00+01:00,2026
The Protecht Group,protechtgroup.com,+61 2 8005 1265,info@protecht.com.au,,,"No comments Redefining the way the world thinks about risk While others fear risk, we embrace it. With offices in Los Angeles, Sydney and London, Protecht has been redefining the way people think about risk, compliance and resilience for over 20 years. Through our people, we enable smarter risk taking by our customers to drive their resilience and sustainable success. We do this by channeling our passion for enterprise risk management into knowledge and expertise that drive every aspect of our training, thought leadership, products and services, and by building true relationships with our customers as we support their risk management journey. We help our customers increase performance and achieve strategic objectives through better understanding, monitoring and management of risk. We provide a complete solution of world-class risk management, compliance, training, framework, advisory and consulting services to businesses, regulators and governments across the world. Our flagship Protecht ERM enterprise risk management SaaS solution covers the full risk lifecycle. With Protecht ERM, you can dynamically manage all your risks in a single place: risks, compliance, incidents, KRIs, vendor risk, IT and cyber risk, internal audit, operational resilience, business continuity management, occupational safety & health, and much more. Protecht ERM enables you to seamlessly integrate risk and compliance management into your day-to-day activities and gain operational efficiencies through flexible and no-code web-based forms, a workflow engine, and highly adaptable reports and dashboards. We’re with you for your full risk journey. Let’s transform the way you understand and manage your risk to create exciting opportunities for growth. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/the-protecht-group/10873.article,2026-08-18T10:06:00+01:00,2026
Threatlocker,threatlocker.com,33-292-7732,marketing@threatlocker.com,,,"No comments Stop ransomware! ThreatLocker® improves enterprise-level server and endpoint security with zero trust controls, including Allowlisting, Ringfencing™, Elevation, Storage, Network Control, Configuration Management, and Operational Alert solutions. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/threatlocker/10874.article,2026-08-18T10:22:00+01:00,2026
Vanta,vanta.com,39 151.209290,privacy@vanta.com,,,"No comments Automate compliance, security, and trust with the leading Agentic Trust Platform. Vanta is the #1 Agentic Trust Platform that helps businesses earn and prove trust. From startup to enterprise, Vanta is trusted by 15,000+ customers, including Atlassian, Duolingo, Icelandair, Ramp and Synthesia, to automate compliance, manage risk, and prove trust continuously—all from a single, AI-powered platform. Automated Compliance: Automate evidence gathering with continuous monitoring to get you compliant and keep you secure. Streamlined Audits: Collaborate seamlessly with auditors to help get you audit-ready, fast and hassle-free. Risk Management: Centralize your IT risk to make informed decisions, whether you’re bringing your own program or building one from scratch. Vendor Risk Management: Streamline vendor security reviews with AI-powered analysis and continuous monitoring of vendor attack surfaces. Trust Center: Share your security and compliance posture with buyers with a public-facing Trust Center, and tie your security program to revenue. Questionnaire Automation: Streamline security questionnaires by having Vanta AI take the first pass for you—so all you need to do is review, approve, and submit. 375+ integrations: A market-leading ecosystem of over 375 integrations that powers 1,200+ automated, hourly tests, giving you continuous visibility into your compliance posture. Vanta AI: Supercharge your team with AI-powered control mapping, evidence checks, questionnaire automation, and custom code snippets to remediate failing tests. Founded in 2018, Vanta has customers in 58 countries with offices in Dublin, London, New York, San Francisco and Sydney. Investors include Sequoia, Wellington, Craft Ventures, Y Combinator, Growth Equity at Goldman Sachs Alternatives, J.P. Morgan, Atlassian Ventures and CrowdStrike Ventures. Vanta has been named to the Forbes Cloud 100, CNBC Disruptor 50, Fast Company’s Most Innovative Companies, Inc.’s Best Workplaces, and Forbes’ Best Startup Employer lists. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/vanta/10883.article,2026-08-18T10:49:00+01:00,2026
Vendict,vendict.com,,michael@vendict.com,,,"No comments Redefining Third-Party Risk Management Vendict is redefining third-party risk management with advanced AI technology and GRC expertise. Vendict transforms previously slow, fragmented, and costly processes into fast, comprehensive, and affordable vendor risk reduction at scale across the extended enterprise From security questionnaires and audit prep to third-party risk and trust center workflows, Vendict eliminates manual grunt work and delivers source-backed answers you can rely on. Join the multi-billion-dollar companies and high-growth startups already using Vendict to move faster, reduce risk, and build trust with every response. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/vendict/10875.article,2026-08-18T10:24:00+01:00,2026
ViClarity,viclarity.com,,,,,"No comments Centralized Solutions for Good Governance ViClarity is dedicated to helping regulated industries streamline their governance, risk and compliance (GRC) processes through automation and consulting services. Our award-winning technology provides an all-in-one platform to oversee risk, compliance, audit, quality management, governance and more. Simply put, ViClarity makes GRC management easier. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/viclarity/10876.article,2026-08-18T10:26:00+01:00,2026
Wolters Kluwer Tax and Accounting,wolterskluwer.com,,,,,"No comments Optimize your entire firm with industry-leading integration and innovations to transform your tax, accounting, audit, firm operations, and research workflows. Wolters Kluwer (EURONEXT: WKL) is a global leader in information, software solutions and services for professionals in healthcare; tax and accounting; financial and corporate compliance; legal and regulatory; corporate performance and ESG. We help our customers make critical decisions every day by providing expert solutions that combine deep domain knowledge with technology and services. Wolters Kluwer reported 2025 annual revenues of €6.1 billion. The group serves customers in over 180 countries, maintains operations in over 40 countries, and employs approximately 21,100 people worldwide. Equal Opportunity Employer To ensure we continue to drive innovation that enables us to develop products and services to best serve our customers, we cultivate a workplace culture rooted in mutual respect, bringing forward insights from a wide range of backgrounds, perspectives, and experiences. We are also committed to complying with laws requiring equal opportunity in hiring, promotion, and other employment decisions. All qualified applicants will receive consideration without regard to race, color, religion, sex (including pregnancy, gender identity, transgender status, and sexual orientation), national origin, disability, age, genetic information, veteran status, or any other characteristic protected by applicable law, and we do not tolerate discrimination on any of these bases. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/wolters-kluwer-tax-and-accounting/10891.article,2026-08-27T10:28:00+01:00,2026
WorkNest Group,worknest.com,0345 226 8393,enquiries@worknest.com,,,"No comments Empower your people, secure your organisation WorkNest is part of Axiom GRC, supporting organisations to look after their people and protect what matters most. We bring together expertise in people management, employment law, health and safety, and cyber resilience to help organisations across all sectors manage risk, compliance, and perform at their best. By combining smart technology with real-world experience, we make complex challenges easier to understand and simpler to manage. We believe strong organisations are built on confident people, trusted systems, and timely, practical support. Through close partnership with our clients, we help create high-performing workplaces that are resilient, secure, and ready for what’s next. Empower your People. Secure your organisation. Explore our specialist suites: • WorkNest People - expert Employment Law, HR and Health & Safety support for people, safety and compliance • WorkNest Secure - cyber security, resilience and data protection services you can rely on The WorkNest group brings together 15+ specialist organisations, each with decades of experience supporting organisations worldwide with risk and compliance solutions. While many now operate under the WorkNest brand, several trusted organisations continue under their established names, including: IMSM The DPO Centre Care4Quality esphr Vista HR Solutions Together, we provide integrated expertise across employment law, HR, health and safety, ISO certification, data protection, cyber resilience and wider compliance. This comprehensive approach ensures our clients benefit from specialist support across every area of organisational risk, delivered by experts who understand how these challenges connect in the real world. FIND OUT MORE",https://www.grcworldforums.com/risk-europe-exhibitors/worknest-group/10877.article,2026-08-18T10:30:00+01:00,2026
