exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
cellinnovator,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,cellinnovator,A-13,Exhibitor in BioJapan,Yokohama,
CELLISTIC,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CELLISTIC,C-35,Exhibitor in BioJapan,Yokohama,
CellKey AI,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CellKey AI,D-44,Exhibitor in BioJapan,Yokohama,
Cellknit Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cellknit Inc.,B-58,Exhibitor in BioJapan,Yokohama,
CellSafe,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CellSafe,R-33,Exhibitor in Regenerative Medicine Japan,Yokohama,
Celltrion,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Celltrion,,Exhibitor in BioJapan,Yokohama,
"Center for Advanced Medicine and Clinical Research, Nagoya University Hospital",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Center for Advanced Medicine and Clinical Research, Nagoya University Hospital",V-91,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
"Center for Advanced Modalities and Drug delivery System, University of Osaka",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Center for Advanced Modalities and Drug delivery System, University of Osaka",A-41,Exhibitor in BioJapan,Yokohama,
"Center for Clinical Research and Innovation (CCRI), Osaka Metropolitan University Hospital",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Center for Clinical Research and Innovation (CCRI), Osaka Metropolitan University Hospital",V-70,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
"Center for One Medicine Innovative Translational Research, Tokai National Higher Education and Research System",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Center for One Medicine Innovative Translational Research, Tokai National Higher Education and Research System",A-33,Exhibitor in BioJapan,Yokohama,
Central Link,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Central Link,C-13,Exhibitor in BioJapan,Yokohama,
Central Research Institute of Electric Power Industry,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Central Research Institute of Electric Power Industry,B-72,Exhibitor in BioJapan,Yokohama,
Centre for Aging + Brain Health Innovation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Centre for Aging + Brain Health Innovation,B-84,Exhibitor in BioJapan,Yokohama,
CereCura Nanotherapeutics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CereCura Nanotherapeutics,B-86,Exhibitor in BioJapan,Yokohama,
Certest Biotec S.L.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Certest Biotec S.L.,B-51,Exhibitor in BioJapan,Yokohama,
Charles River Laboratories Japan G.K.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Charles River Laboratories Japan G.K.,D-01,Exhibitor in BioJapan,Yokohama,
CheckImmune GmbH,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CheckImmune GmbH,B-73,Exhibitor in BioJapan,Yokohama,
chiba university,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,chiba university,A-21,Exhibitor in BioJapan,Yokohama,
Chiba University Hospital,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Chiba University Hospital,V‐33,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
"Chiba University, Synergy Institute for Mucosal Vaccine Research and Development",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Chiba University, Synergy Institute for Mucosal Vaccine Research and Development",A-41,Exhibitor in BioJapan,Yokohama,
Chiral,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Chiral,A-06,Exhibitor in BioJapan,Yokohama,
Chitose Laboratory,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Chitose Laboratory,B-19,Exhibitor in BioJapan,Yokohama,
CHIYODA CORPORATION,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CHIYODA CORPORATION,D-98,Exhibitor in BioJapan,Yokohama,
ChM,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ChM,C-30,Exhibitor in BioJapan,Yokohama,
"Chordix, Inc.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Chordix, Inc.",V-76,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Chromatin Bioscience,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Chromatin Bioscience,C-24,Exhibitor in BioJapan,Yokohama,
"Chugai Pharmaceutical Co., Ltd.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Chugai Pharmaceutical Co., Ltd.",D-39,Exhibitor in BioJapan,Yokohama,
Chungbuk TechnoPark,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Chungbuk TechnoPark,B-20,Exhibitor in BioJapan,Yokohama,
CIC Japan Innovation Services,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CIC Japan Innovation Services,B-10,Exhibitor in BioJapan,Yokohama,
Ciconia Bioventures Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Ciconia Bioventures Inc.,V-06,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
cilcare,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,cilcare,B-06,Exhibitor in BioJapan,Yokohama,
Citeline | Evaluate,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Citeline | Evaluate,D-45,Exhibitor in BioJapan,Yokohama,
City of Kawasaki,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,City of Kawasaki,B-05,Exhibitor in BioJapan,Yokohama,
City of Sendai,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,City of Sendai,B-24,Exhibitor in BioJapan,Yokohama,
City of Yokohama,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,City of Yokohama,B-05,Exhibitor in BioJapan,Yokohama,
Clinical & Translational Research Center Keio University Hospital,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Clinical & Translational Research Center Keio University Hospital,V‐33,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Clinical Innovation Network (CIN),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Clinical Innovation Network (CIN),V-26,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
"Clinical Research Center, Nagasaki University Hospital",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Clinical Research Center, Nagasaki University Hospital",V‐33,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
"Clinical Research, Innovation and Education Center, Tohoku University Hospital",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Clinical Research, Innovation and Education Center, Tohoku University Hospital",V‐33,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
"Clinical Research, Innovation and Education Center, Tohoku University Hospital (CRIETO)",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Clinical Research, Innovation and Education Center, Tohoku University Hospital (CRIETO)",V-73,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
CLOVERNA Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CLOVERNA Inc.,V-68,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Cluster for Regenerative Medicine in Tonomachi Haneda,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cluster for Regenerative Medicine in Tonomachi Haneda,B-05,Exhibitor in BioJapan,Yokohama,
CM Plus,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CM Plus,R-21,Exhibitor in Regenerative Medicine Japan,Yokohama,
CMIC Pharma Science,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CMIC Pharma Science,D-59,Exhibitor in BioJapan,Yokohama,
"Co-Creation Bureau, the University of Osaka",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Co-Creation Bureau, the University of Osaka",A-42,Exhibitor in BioJapan,Yokohama,
CollaWind,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CollaWind,D-61,Exhibitor in BioJapan,Yokohama,
Concept Life Sciences,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Concept Life Sciences,C-60,Exhibitor in BioJapan,Yokohama,
CONNECTS,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CONNECTS,H-09,Exhibitor in healthTECH JAPAN,Yokohama,
Cosmo Bio,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cosmo Bio,D-63,Exhibitor in BioJapan,Yokohama,
"Crafton Biotechnology Co., Ltd.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Crafton Biotechnology Co., Ltd.",V-85,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Craif,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Craif,A-06,Exhibitor in BioJapan,Yokohama,
CreativeQuantum,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CreativeQuantum,C-21,Exhibitor in BioJapan,Yokohama,
CREM Co Labs,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CREM Co Labs,B-84,Exhibitor in BioJapan,Yokohama,
CrestecBio,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CrestecBio,V-45,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Croda Japan,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Croda Japan,C-04,Exhibitor in BioJapan,Yokohama,
Cromatic,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cromatic,C-81,Exhibitor in BioJapan,Yokohama,
CSL Behring,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CSL Behring,B-45,Exhibitor in BioJapan,Yokohama,
CSTEC,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CSTEC,D-102,Exhibitor in BioJapan,Yokohama,
CTIBIOTECH,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CTIBIOTECH,D-30,Exhibitor in BioJapan,Yokohama,
"CUePEAK BIO. Co.,Ltd.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"CUePEAK BIO. Co.,Ltd.",B-20,Exhibitor in BioJapan,Yokohama,
CUES Consulting Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CUES Consulting Inc.,V-43,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
CUES PharmaLab,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CUES PharmaLab,V-43,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Cumulus,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cumulus,C-24,Exhibitor in BioJapan,Yokohama,
Cuorips Inc. （Regenerative Medicine CDMO Subsidy Office）,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cuorips Inc. （Regenerative Medicine CDMO Subsidy Office）,R-29,Exhibitor in Regenerative Medicine Japan,Yokohama,
Curenetics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Curenetics,C-24,Exhibitor in BioJapan,Yokohama,
Curibio,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Curibio,B-20,Exhibitor in BioJapan,Yokohama,
Curio Biotech,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Curio Biotech,,Exhibitor in BioJapan,Yokohama,
Cyagen,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cyagen,D-82,Exhibitor in BioJapan,Yokohama,
CYANAGEN,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CYANAGEN,D-99,Exhibitor in BioJapan,Yokohama,
CYBERNET SYSTEMS,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CYBERNET SYSTEMS,B-17,Exhibitor in BioJapan,Yokohama,
CyberomiX,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CyberomiX,B-52,Exhibitor in BioJapan,Yokohama,
Cytely,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cytely,D-119,Exhibitor in BioJapan,Yokohama,
Cyto-Facto Inc. （Regenerative Medicine CDMO Subsidy Office）,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cyto-Facto Inc. （Regenerative Medicine CDMO Subsidy Office）,R-29,Exhibitor in Regenerative Medicine Japan,Yokohama,
CytoGen Japan,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CytoGen Japan,D-35,Exhibitor in BioJapan,Yokohama,
CzechInvest,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CzechInvest,A-17,Exhibitor in BioJapan,Yokohama,
Daejeon Technopark,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Daejeon Technopark,B-20,Exhibitor in BioJapan,Yokohama,
DAI-DAN,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DAI-DAN,R-01,Exhibitor in Regenerative Medicine Japan,Yokohama,
Daicel,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Daicel,A-15,Exhibitor in BioJapan,Yokohama,
Daio Paper Corporation、Green Earth Institute,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Daio Paper Corporation、Green Earth Institute,B-72,Exhibitor in BioJapan,Yokohama,
DAIWA HOUSE INDUSTRY,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DAIWA HOUSE INDUSTRY,B-81,Exhibitor in BioJapan,Yokohama,
Dalton Corporation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Dalton Corporation,R-37,Exhibitor in Regenerative Medicine Japan,Yokohama,
Dark Horse Consulting,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Dark Horse Consulting,D-32,Exhibitor in BioJapan,Yokohama,
Data4cs,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Data4cs,H-08,Exhibitor in healthTECH JAPAN,Yokohama,
Data4cs K.K.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Data4cs K.K.,H-08,Exhibitor in healthTECH JAPAN,Yokohama,
Deep Tech Canada,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Deep Tech Canada,B-86,Exhibitor in BioJapan,Yokohama,
deepmirror,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,deepmirror,C-24,Exhibitor in BioJapan,Yokohama,
DEFTA Capital Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DEFTA Capital Inc.,V-30,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
DelveInsight Business Research,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DelveInsight Business Research,B-25,Exhibitor in BioJapan,Yokohama,
Denka,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Denka,R-20,Exhibitor in Regenerative Medicine Japan,Yokohama,
Diamens,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Diamens,,Exhibitor in BioJapan,Yokohama,
DiaSource ImmunoAssays,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DiaSource ImmunoAssays,C-13,Exhibitor in BioJapan,Yokohama,
Diva Expertise,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Diva Expertise,D-30,Exhibitor in BioJapan,Yokohama,
DiveradGel,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DiveradGel,B-72,Exhibitor in BioJapan,Yokohama,
DKS,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DKS,D-27,Exhibitor in BioJapan,Yokohama,
DKS Co. Ltd.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DKS Co. Ltd.,D-27,Exhibitor in BioJapan,Yokohama,
DOJIN GROUP,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DOJIN GROUP,D-60,Exhibitor in BioJapan,Yokohama,
DOLINNOV,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DOLINNOV,D-30,Exhibitor in BioJapan,Yokohama,
Doshisha University,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Doshisha University,A-49,Exhibitor in BioJapan,Yokohama,
DuoGenic StemCells corporation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DuoGenic StemCells corporation,R-31,Exhibitor in Regenerative Medicine Japan,Yokohama,
DUPONTE INVESTIGACION Y DESARROLLO SOCIEDAD LIMITADA.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,DUPONTE INVESTIGACION Y DESARROLLO SOCIEDAD LIMITADA.,B-51,Exhibitor in BioJapan,Yokohama,
EastMabBio,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,EastMabBio,B-62,Exhibitor in BioJapan,Yokohama,
EBARA CORPORATION,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,EBARA CORPORATION,R-27,Exhibitor in Regenerative Medicine Japan,Yokohama,
"Echo Electricity Co., Ltd.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Echo Electricity Co., Ltd.",V-78,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Ecocell,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Ecocell,B-05,Exhibitor in BioJapan,Yokohama,
"Economic and Commercial Office, Embassy of Spain in Japan",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Economic and Commercial Office, Embassy of Spain in Japan",B-51,Exhibitor in BioJapan,Yokohama,
EditForce,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,EditForce,B-50,Exhibitor in BioJapan,Yokohama,
Egret・Lab,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Egret・Lab,B-52,Exhibitor in BioJapan,Yokohama,
Ehime University(Protein Island Matsuyama),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Ehime University(Protein Island Matsuyama),A-63,Exhibitor in BioJapan,Yokohama,
"EirGenix,",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"EirGenix,",D-65,Exhibitor in BioJapan,Yokohama,
Eli Lilly and Company,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Eli Lilly and Company,PTR-03,Exhibitor in BioJapan,Yokohama,
Elix,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Elix,B-87,Exhibitor in BioJapan,Yokohama,
Embassy of Canada to Japan,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Embassy of Canada to Japan,B-85,Exhibitor in BioJapan,Yokohama,
Embassy of Italy - trade Promotion Section,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Embassy of Italy - trade Promotion Section,D-99,Exhibitor in BioJapan,Yokohama,
"Emeraid, Inc.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Emeraid, Inc.",A-34,Exhibitor in BioJapan,Yokohama,
Emerald Clinical,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Emerald Clinical,D-95,Exhibitor in BioJapan,Yokohama,
Emerald Clinical Trials,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Emerald Clinical Trials,D-85,Exhibitor in BioJapan,Yokohama,
Enzene,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Enzene,B-27,Exhibitor in BioJapan,Yokohama,
ENZYME SENSOR,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ENZYME SENSOR,D-91,Exhibitor in BioJapan,Yokohama,
"ENZYME SENSOR Co.,Ltd.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"ENZYME SENSOR Co.,Ltd.",D-91,Exhibitor in BioJapan,Yokohama,
EPS,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,EPS,D-72,Exhibitor in BioJapan,Yokohama,
Epsilon Molecular Engineering,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Epsilon Molecular Engineering,C-49,Exhibitor in BioJapan,Yokohama,
erisanbio,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,erisanbio,A-09,Exhibitor in BioJapan,Yokohama,
ESQlabs GmbH,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ESQlabs GmbH,B-73,Exhibitor in BioJapan,Yokohama,
EU-Japan Centre for Industrial Cooperation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,EU-Japan Centre for Industrial Cooperation,B-06,Exhibitor in BioJapan,Yokohama,
"Eurofins Analytical Science Laboratories, Inc.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Eurofins Analytical Science Laboratories, Inc.",C-34,Exhibitor in BioJapan,Yokohama,
EVER,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,EVER,B-08,Exhibitor in BioJapan,Yokohama,
Evotec,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Evotec,B-54,Exhibitor in BioJapan,Yokohama,
"Exollence Co., Ltd.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Exollence Co., Ltd.",B-20,Exhibitor in BioJapan,Yokohama,
f-labs Kyushu University Hospital,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,f-labs Kyushu University Hospital,B-90,Exhibitor in BioJapan,Yokohama,
Farnex,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Farnex,B-05,Exhibitor in BioJapan,Yokohama,
Fast Track Initiative,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Fast Track Initiative,B-83,Exhibitor in BioJapan,Yokohama,
FastNeura,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FastNeura,A-34,Exhibitor in BioJapan,Yokohama,
Fermelanta,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Fermelanta,B-50,Exhibitor in BioJapan,Yokohama,
Fermenstation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Fermenstation,C-15,Exhibitor in BioJapan,Yokohama,
"Fermenstation Co., Ltd.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Fermenstation Co., Ltd.",B-49,Exhibitor in BioJapan,Yokohama,
FerroptoCure,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FerroptoCure,V-45,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
FiatLux Corporation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FiatLux Corporation,C-73,Exhibitor in BioJapan,Yokohama,
"FIMECS, Inc.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"FIMECS, Inc.",V-16,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
FLANDERS INVESTMENT & TRADE,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FLANDERS INVESTMENT & TRADE,C-35,Exhibitor in BioJapan,Yokohama,
Floatmeal,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Floatmeal,A-06,Exhibitor in BioJapan,Yokohama,
FluIDect GmbH,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FluIDect GmbH,B-73,Exhibitor in BioJapan,Yokohama,
FlyWorks,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FlyWorks,B-44,Exhibitor in BioJapan,Yokohama,
Formosa Laboratories / EirGenix,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Formosa Laboratories / EirGenix,D-65,Exhibitor in BioJapan,Yokohama,
"Formosa Laboratories,",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Formosa Laboratories,",D-65,Exhibitor in BioJapan,Yokohama,
Formosa Laboratories/ EirGenix,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Formosa Laboratories/ EirGenix,D-65,Exhibitor in BioJapan,Yokohama,
Forum for Innovative Regenerative Medicine,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Forum for Innovative Regenerative Medicine,R-09,Exhibitor in Regenerative Medicine Japan,Yokohama,
Forum for Innovative Regenerative Medicine (FIRM),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Forum for Innovative Regenerative Medicine (FIRM),R-09,Exhibitor in Regenerative Medicine Japan,Yokohama,
Foundation for Biomedical Research and Innovation at Kobe,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Foundation for Biomedical Research and Innovation at Kobe,,Exhibitor in BioJapan,Yokohama,
Friend Microbe,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Friend Microbe,A-06,Exhibitor in BioJapan,Yokohama,
"Frontier Pharma, Inc.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Frontier Pharma, Inc.",V-11,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
FUJIFILM,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FUJIFILM,D-51,Exhibitor in BioJapan,Yokohama,
FUJIFILM Biotechnologies,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FUJIFILM Biotechnologies,D-51,Exhibitor in BioJapan,Yokohama,
FUJIFILM Toyama Chemical,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FUJIFILM Toyama Chemical,D-51,Exhibitor in BioJapan,Yokohama,
FUJIFILM Wako Pure Chemical,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FUJIFILM Wako Pure Chemical,,Exhibitor in BioJapan,Yokohama,
FUJIKURA COMPOSITES,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FUJIKURA COMPOSITES,D-100,Exhibitor in BioJapan,Yokohama,
Fujita Health University [NINEJP],,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Fujita Health University [NINEJP],,Exhibitor in BioJapan,Yokohama,
FUKOKU,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FUKOKU,R-42,Exhibitor in Regenerative Medicine Japan,Yokohama,
FUKOKU BUSSAN,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FUKOKU BUSSAN,B-33,Exhibitor in BioJapan,Yokohama,
Fukuoka Biocommunity Council,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Fukuoka Biocommunity Council,A-13,Exhibitor in BioJapan,Yokohama,
Fukuoka University,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Fukuoka University,V-74,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Fukushima Cell Factory,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Fukushima Cell Factory,D-100,Exhibitor in BioJapan,Yokohama,
FUKUSHIMA GALILEI,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FUKUSHIMA GALILEI,R-02,Exhibitor in Regenerative Medicine Japan,Yokohama,
FUKUSHIMA MEDICAL UNIVERSITY,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FUKUSHIMA MEDICAL UNIVERSITY,B-04,Exhibitor in BioJapan,Yokohama,
Fukushima Translational Research Foundation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Fukushima Translational Research Foundation,D-100,Exhibitor in BioJapan,Yokohama,
Fukushima University,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Fukushima University,A-15,Exhibitor in BioJapan,Yokohama,
Funakoshi,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Funakoshi,D-103,Exhibitor in BioJapan,Yokohama,
FUNDACION CENTRO DE EXCELENCIA EN INVESTIGACION DE MEDICAMENTOS INNOVADORES EN ANDALUCIA,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FUNDACION CENTRO DE EXCELENCIA EN INVESTIGACION DE MEDICAMENTOS INNOVADORES EN ANDALUCIA,B-51,Exhibitor in BioJapan,Yokohama,
"FunPep Co., Ltd.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"FunPep Co., Ltd.",V-39,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
"FUSO Pharmaceutical Industries,",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"FUSO Pharmaceutical Industries,",D-25,Exhibitor in BioJapan,Yokohama,
FyoniBio GmbH,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FyoniBio GmbH,B-73,Exhibitor in BioJapan,Yokohama,
FYSCON,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,FYSCON,A-17,Exhibitor in BioJapan,Yokohama,
"G2GBIO, Inc.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"G2GBIO, Inc.",B-20,Exhibitor in BioJapan,Yokohama,
