exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
"SHANXI LAOWAN CLEAN HEATING INDUSTRY CO., LTD",laowan.com,,,Uzexpocentre NEC,China,"SHANXI LAOWAN CLEAN HEATING INDUSTRY CO., LTD",F 116,"Shanxi Laowan Eco-Boiler Co., Ltd. is a manufacturer specializing in the research and production of environmentally friendly and energy-efficient heating boilers. The company has an R&D department, a laboratory, and a technical training center, equipped with state-of-the-art testing instruments for thermal engineering and environmental protection, enabling it to independently conduct all technical trials and tests—from heating boilers to fuel.With short product development cycles and rapid manufacturing capabilities, the company is open to ODM or OEM partnerships with domestic and international clients.We welcome you to visit our factory!",Tashkent,
"SHENZHEN SWD INDUSTRY CO., LTD",sz-swdgroup.com,,,Uzexpocentre NEC,China,"SHENZHEN SWD INDUSTRY CO., LTD",K 30,We're a leading sanitary ware producer in China with more than 10 years' experience in OEM&ODM. Our production line varies from kitchen ware&bathroom ware and personal hygiene.,Tashkent,
"SIPING JUYUAN HEAT EXCHANGE SYSTEM INTEGRATION CO., LTD.",,,,Uzexpocentre NEC,China,"SIPING JUYUAN HEAT EXCHANGE SYSTEM INTEGRATION CO., LTD.",F 130,"THT Juyuan is a leading integrated service provider of high-efficiency heat exchange system solutions in China. Founded in 1986, the annual production capacity is 1 million square meters of heat exchanger and 5,000 sets of system integration equipment. After 40 years development, it has become an international brandenterprise in design, research and development, manufacturing, sales and service. Relying on the four core technologies of heat exchange, system integration, waste heat recovery and intellgent control, the business covers 31 countries and 108 industries, continuously provided more than 200,000 products and services for domestic and foreign enterprises.",Tashkent,
"STOKAMNET, LLC",stokam.net,,,Uzexpocentre NEC,Uzbekistan,"STOKAMNET, LLC",L 62,"STOKAMNET is a full-cycle manufacturing and engineering company in the water supply and wastewater treatment industry. Our company carries out the full cycle of work involved in the design and manufacture of process equipment for mechanical, physicochemical, and biological wastewater treatment, as well as for sludge dewatering. We handle all stages of a project, from development and testing through to production and commissioning at the customer’s facility. Translated with DeepL.com (free version)",Tashkent,
"TAIZHOU AIKE VALVE CO.,LTD",aikevalve.com,,,Uzexpocentre NEC,China,"TAIZHOU AIKE VALVE CO.,LTD",G 82,"Taizhou aike valve Co., Ltd. was founded in 2013. Our company is a professional manufactureengaged in brass valve, bibcock and fittings. We are located in xudou industrial area, qinggangtown, yuhuan City, Zhejiang Province, China, with convenient transportation.Due to the rich manufacturing experience, our company has captured a share in the worldmarket, such as Europe, Australia, and Asia and so on. You can depend on our reputation forreliable quality, innovative offerings and styles. In addition, our competitive pricing and excellentWe have an outstanding engineer team and functional production lines, maintaining a strict",Tashkent,https://www.linkedin.com/company/
TAIZHOU DINGDIAN TECHNOLOGY CO.，LTD.,,,,Uzexpocentre NEC,China,TAIZHOU DINGDIAN TECHNOLOGY CO.，LTD.,H 24,"Taizhou Dingdian Technology Co., Ltd. We specialize in the R&D and manufacturing of high‑quality hoses. With over 20 years of development, we have grown into one of the leading manufacturers in the industry. Our main products include PVC hoses, shower hoses, garden hoses and toilet sprayer sets.",Tashkent,
"TAIZHOU KINGO GAS TECHNOLOGY CO.,LTD",kingogas.com,,,Uzexpocentre NEC,China,"TAIZHOU KINGO GAS TECHNOLOGY CO.,LTD",F 82,"The main business of our company is the development and manufacture of flexible hose for natural gas and LPG, gas regulator,gas filter, electromagnetic valve,gas detector,stainless steel hose,magnetic filter etc.",Tashkent,
"TAIZHOU KINGSTON VALVE CO.,LTD.",,,,Uzexpocentre NEC,China,"TAIZHOU KINGSTON VALVE CO.,LTD.",K 106,"Taizhou Kingston valve is here, We are a professional valve manufacturer from Yuhuan, China. Our main products include Radiator valve,Brass ball valve,Manifold and Brass fitting. If you are interested in our products, please feel free to contact us, we will reply you in time. Thank you!",Tashkent,
"TAIZHOU LIXIANG TOOLS.CO.,LTD",inlucktools.com,,,Uzexpocentre NEC,China,"TAIZHOU LIXIANG TOOLS.CO.,LTD",F 20,"Compression pliers, tightening tools, expansion tools, straightening tools, rounding tools, chamfering tools, etc.",Tashkent,
"TAIZHOU MECO REFRIGERATION EQUIPMENT CO.,LTD",,,,Uzexpocentre NEC,China,"TAIZHOU MECO REFRIGERATION EQUIPMENT CO.,LTD",K 104,"Taizhou MECO refrigeration Equipment Co., Ltd established in 2007. We are a manufacturer which has comprehensive competitiveness in the technology, producing and services in commercial air conditioning industry.",Tashkent,
"TAIZHOU MEIGE WATER CONTROL TECHNOLOGY CO., LTD",,,,Uzexpocentre NEC,China,"TAIZHOU MEIGE WATER CONTROL TECHNOLOGY CO., LTD",L 64,"Taizhou Meige Water Control Technology Co., Ltd. is a company based in Yuhuan City, Taizhou City, Zhejiang Province, specializing in the research, development, and manufacturing of valves, water control equipment, and related components; it is also dedicated to the production and development of products such as pre-filters, smart valves, and smart bathroom solutions.",Tashkent,
"TAIZHOU SHANGYI VALVE CO.,LTD",syshowvalve.com,,,Uzexpocentre NEC,China,"TAIZHOU SHANGYI VALVE CO.,LTD",G 60,"Taizhou Shangyi Valve Co.Ltd was established in 1998.whichlocated in the city of valves in China""-Yuhuan.Our products including all kinds of high grade brass valves, such as ball valve, check valve, filter valve, radiator valve, foot valve ,angle valve, bibcock as well as heating instruments ect which export to many market, such as Europe, South America, Africa, Middle East ect.",Tashkent,
"TAIZHOU SHUTAI FLUID CONTROL EQUIPMENT CO.,LTD.",shutaivalve.com,,,Uzexpocentre NEC,China,"TAIZHOU SHUTAI FLUID CONTROL EQUIPMENT CO.,LTD.",G 94,"Professional factory from China, yuhuan. producing brass ball valve, angle valve, stop valve, gate valve, check valve, pipfittings, maniflod HVAC system.",Tashkent,
"TAIZHOU TIANMAI METAL PRODUCTS CO., LTD.",,,,Uzexpocentre NEC,China,"TAIZHOU TIANMAI METAL PRODUCTS CO., LTD.",K 60,"We are a professional direct manufacturer specializing in customized stainless steel and brass HVAC floor manifolds, as well as a complete series of plumbing valves and pipe fittings. Equipped with complete integrated production lines, we deliver flexible OEM and ODM services to meet diverse personalized demands. We implement strict whole-process quality control to guarantee stable product performance. Benefiting from factory-direct pricing, we have established long-term partnerships with numerous European local distributors. We sincerely welcome global buyers to visit and negotiate win-win cooperation.",Tashkent,
"TAIZHOU TIANYUE ELECTROMECHANICAL CO.,LTD",,,,Uzexpocentre NEC,China,"TAIZHOU TIANYUE ELECTROMECHANICAL CO.,LTD",L 32,"Tianyue,a professional manufacturer of household land-based and submersible pumps.The product range including vortex pumps, centrifugal pumps, jet pumps, submersible pumps etc.We utilize advanced automated assembly and CNC machine tool manufacturing processes to deliver cost-effective products to all our customers at highly competitive prices and through exceptional service.The products are exported to more than 30 countries including Europe, the Americas, Asia, Africa, Australia, and other regions.",Tashkent,
"TAIZHOU XUNZHI METAL PRODUCTS CO.,LTD.",tzxunzhi.com,,,Uzexpocentre NEC,China,"TAIZHOU XUNZHI METAL PRODUCTS CO.,LTD.",K 142,"Our factory founded in 2002 and located in Yuhuan Zhejiang Province, specializes in manufacturing brass pipe fittings, valves, and HVAC products, offering OEM/ODM services.",Tashkent,
"TAIZHOU ZHENGSHING VALVE CO.,LTD",,,,Uzexpocentre NEC,China,"TAIZHOU ZHENGSHING VALVE CO.,LTD",H 63,"As a member of China Council of Promotion of International Trade and International Commerce Chamber of China, we are specializing in manufacturing the production of water line fittings such as taps, valves, mixers and so on. Now, we enjoy the power to import and export by ourselves and we occupy a batch of high-quality engineers and technicians. They absorb the best of similar products both at home and abroad to perfect the products level continuously to meet with different customer requirements.",Tashkent,
"TAIZHOU ZHIAN INTERNATIONAL TRADE CO.,LTD.",,,,Uzexpocentre NEC,China,"TAIZHOU ZHIAN INTERNATIONAL TRADE CO.,LTD.",K 84,submersible water pump,Tashkent,
"TECHNO COMMERCE, LLC",,,,Uzexpocentre NEC,Uzbekistan,"TECHNO COMMERCE, LLC",G 30,"Company AKFA BUILD offers a wide range of products. These products include: heating, cooling, water supply, gasification systems, elevator and escalator systems, metal structures, insulation, facade systems for all types of buildings, including offices, shops, catering establishments, manufacturing enterprises, industrial and residential facilities.AKFA BUILD provides design, delivery and installation services.The company’s goal is to create a new direction of construction business in Uzbekistan, as well as promote and widely disseminate the brand name “Made in Uzbekistan” in regions where cooperative relations have been established.",Tashkent,
"TERM SERVICE, LLC",termservis.ru,,,Uzexpocentre NEC,Russian Federation,"TERM SERVICE, LLC",L 60,"Term Service, LLC supplies heat exchange equipment, control valves, differential pressure regulators, and manufactures integrated low‑voltage units, pressure‑boosting and fire‑fighting stations under the RUSTERM trademark. Core business: supply of heat/energy equipment, design, installation, maintenance, remote monitoring, and control solutions with server hosting. We operate across Russia, offering either individual project stages (design, installation, supply) or complete turnkey solutions.",Tashkent,
TERMA,terma.pro,,,Uzexpocentre NEC,Russian Federation,TERMA,L 60-8,"TERMA is a Russian full-cycle manufacturer of heat exchange equipment. We combines engineering expertise, modern manufacturing technologies, and comprehensive testing capabilities to deliver products that meet the highest standards of quality and performance. The company's infrastructure includes: - Two dedicated leak-testing pools for heat exchanger tightness verification; - An aerodynamic test bench for performance testing of axial and centrifugal fans; - A calorimetric test bench capable of testing heat exchangers up to 12 meters in length. Key Figures - Founded in 2000; - More than 100,000 units supplied; - 30,000+ m² of manufacturing facilities; - 3 manufacturing plants in the Moscow Region; * ISO 9001:2015 certified production.",Tashkent,
TERMOFAN HAVALANDIRMA SISTEMLERI SAN. VE TIC. A.S.,termofan.com.tr,,,Uzexpocentre NEC,Türkiye,TERMOFAN HAVALANDIRMA SISTEMLERI SAN. VE TIC. A.S.,L 30,"Termofan Heating, Cooling & Air Conditioning been found in 2007 in the field of ventilation and mechanical installations and has been producing devices and accessories for ventilation and air conditioning currently. Our company headoffice and factory based in Istanbul,Turkey, Morocco and Uzbekistan continuing to manufacture environment-friendly TS, EN, EUROVENT, TUV SUD, CE and ISO approved devices for houses, apartnement, plazas, skylines, shopping malls, factories and industrial places.Our product range is Air Handling Unit, Hygienic Air Handling Unit, Heat Recovery Unit, Dehumidification Unit, Ventilation Fans, Fancoils , Precision Controlled Devices, Ecological Kitchen Devices And HVAC Equipments.Best regards,",Tashkent,https://www.linkedin.com/company/37817532/admin/dashboard/
THAICON,thaicon.uz,,,Uzexpocentre NEC,Uzbekistan,THAICON,L 52,"THAICON is a modern HVAC brand offering efficient and reliable air conditioning solutions for residential, commercial and industrial applications.The product range includes residential inverter split and multi-split systems, light commercial inverter split systems, VRF systems, and chiller-fan coil systems.THAICON equipment combines modern technologies with energy efficiency and flexible solutions for a comfortable indoor climate.The brand offers comprehensive air conditioning solutions for homes, apartments, offices, retail and industrial facilities.«DC ENGINEERING is the exclusive distributor of THAICON in Uzbekistan, providing equipment supply and professional technical support.»",Tashkent,https://www.linkedin.com/in/thaicon-uzbekistan-632912404/
"THERMAFLEX INSULATION PLUS, LLC",,,,Uzexpocentre NEC,Russian Federation,"THERMAFLEX INSULATION PLUS, LLC",L 60-6,"ThermaRU (Thermaflex) is a global leader in energy-efficient solutions for building systems and urban infrastructure.The company produces expanded polyethylene insulation and flexible pre-insulated Flexaterm (Flexalen) pipes (up to 315 mm) for heating, water, and district energy networks.Its solutions are applied in renovation, reconstruction, and new construction projects, ensuring reliability, efficiency, and lower operating costs.Products are BIM-integrated, support ESG and import substitution, and enhance design accuracy.Since 2005, the company’s own plant in the Moscow region has guaranteed consistent quality, technology, and on-time delivery — making.",Tashkent,
THERMO TECH,thermotech.uz,,,Uzexpocentre NEC,Uzbekistan,THERMO TECH,G 12,"My products are reliable, long-lasting and energy-efficient steel panel radiators that provide comfort and heat in the house.",Tashkent,
"TONGLING SANSHENG ELECTIRIC CO.,LTD",,,,Uzexpocentre NEC,China,"TONGLING SANSHENG ELECTIRIC CO.,LTD",K 44,"Tongling Sansheng Electrical Co., Ltd. was established in 2008 and is located in Tongling, a beautiful ecological city. It is a comprehensive manufacturer integrating R&D, production, sales and after-sales service. The company specializes in the production of CBB60, CBB61, CBB65 and other series of capacitors, which are widely used in air conditioners, washing machines, electric fans, microwave ovens, circuit boards, motors, table fans and other electrical appliances. Our products are exported to more than 20 countries, with an annual output value of over 60 million capacitors. We hold multiple patent certificates and international certifications (CQC, CE, CB, TUV, UR, etc.).",Tashkent,
"TRANP (GUANGZHOU) ENERGY EQUIPMENT CO., LTD",tranpenergy.com,,,Uzexpocentre NEC,China,"TRANP (GUANGZHOU) ENERGY EQUIPMENT CO., LTD",F 140,"TRANP ENERGY is high-tech enterprise providing comprehensive green energy solutions for industrial and construction sectors. Since 2017, we have been dedicated to R&D, manufacture, sales, and service of industrial refrigeration systems, cooling systems, drying systems, commercial air conditioning, waste heat recovery, and heat exchanger systems. Our main products include various types of heat exchanger units, chillers, cooling towers, and related accessories. We not only provide cost-effective products, but also professional design and timely after-sales service, including comprehensive export services from our warehouse to your door.",Tashkent,
"UMELETS, OOO / EVER PLAST",ever58.ru,,,Uzexpocentre NEC,Russian Federation,"UMELETS, OOO / EVER PLAST",H 42,"Polypropylene pipes, fittings, shut-off valves, sewer pipes, and fittings are manufactured at the Umelets LLC production facilities. T The facility is equipped with modern, high-tech equipment, enabling the production of high-quality products. Currently, the production fleet consists of three universal high-speed lines, which produce pressure pipes with diameters from 20 to 63 mm, and two high-speed Kraus Maffei lines, which produce sewer pipes with diameters from 40 to 160 mm. The company's 32 new, modern injection molding machines produce various fittings and shaped parts for heating, water supply, and sewerage systems, with diameters from 20 to 110 mm.",Tashkent,
VALVES OF BALASHIKHA,,,,Uzexpocentre NEC,Russian Federation,VALVES OF BALASHIKHA,L 60-2,"Balashikha Valves is a Russian manufacturer of industrial steel ball valves. Based in Balashikha (Moscow Oblast), it covers the full production cycle — from engineering and metalworking to assembly, testing, and shipment. The 1‑hectare site features 2000 m² of modern workshops equipped for machining and hydraulic testing. The company produces flanged, threaded, welded, and combination valves for water supply, heating, oil and gas, and power industries. Products meet TR CU, GOST, and ISO 9001:2015 standards and are designed for high pressure, wide temperature ranges, and seismic zones up to 9 points. Each batch undergoes mandatory testing and is supplied with passports and test reports.",Tashkent,
"VENTILATION SYSTEMS, LLC",,,,Uzexpocentre NEC,Russian Federation,"VENTILATION SYSTEMS, LLC",L 60-7,production of components for ventilation systems,Tashkent,https://www.linkedin.com/company/нет
VICTORY BY SEVA,,,,Uzexpocentre NEC,Uzbekistan,VICTORY BY SEVA,F 100,"We offer a wide range of products for heating, water supply, and plumbing systems. Our product range includes radiators, heating boilers, manifolds and underfloor heating pipes, plumbing fixtures, as well as polypropylene and stainless steel fittings and components.Our products are suitable for private homes, apartments, commercial properties, and other facilities. We provide practical, reliable, and high-quality solutions for the installation, repair, and modernization of heating and water supply systems.We will help you choose the necessary materials and components to ensure the efficient and long-lasting performance of your system.",Tashkent,
"WANNIAN COUNTY XINLONGSHENG ENVIRONMENTAL PROTECTION TECHNOLOGY CO., LTD",,,,Uzexpocentre NEC,China,"WANNIAN COUNTY XINLONGSHENG ENVIRONMENTAL PROTECTION TECHNOLOGY CO., LTD",K 102,"Wannian Xinlongsheng Environmental Protection Technology Co., Ltd. develops central fresh‑air ventilation PE pipe and pipe fittings. Its technical team comprises senior and intermediate engineers with years of experience in plastic product R&D and production.",Tashkent,https://www.linkedin.com/company/wannian-county-xinlongsheng-environmental-protection-technology-co-ltd
"WARM AIR, LLC",,,,Uzexpocentre NEC,Uzbekistan,"WARM AIR, LLC",F 92,"Heating power range: 5–25 kW Air flow: up to 1600 m³ / h Heater: 2 rows Maximum pressure: 1.6 MPa Reactive distance: 14 m Up to Nipples: 1/2 Power: 124 W Rotation speed: 1400 rpm Protection class: IP54 Noise level: 52 dB Dry/filled: 9.6 / 10.7 kg Dimensions (L×W×H): 590×360×535 mm Warranty: 5 years for fan heater, 3 years for electric motor",Tashkent,https://www.linkedin.com/company/warmairuz
"WENZHOU ELUS TRADING CO.,LTD",elusfaucet.com,,,Uzexpocentre NEC,China,"WENZHOU ELUS TRADING CO.,LTD",K 64,"Wenzhou ELUS Sanitary Ware Co.,Ltd, was founded in 2015 with 2 factories. 300 square-meter factories in WenZhou, Zhejiang and Luncang, FuJian, China. The one is pipe factory in Luncang, FuJian. The another one is a professional manufacturer of various medium and high-end faucets, shower sets, we always place great emphasis on quality control. To ensure that excellent quality levels are maintained, we have implemented a QC policy that is in strict conformance with international standards. The company It has excellent production equipment and technical personnel.",Tashkent,
"WENZHOU FEIYUNUO SANITARY WARE CO.,LTD",feiyunuoweiyu.1688.com,,,Uzexpocentre NEC,China,"WENZHOU FEIYUNUO SANITARY WARE CO.,LTD",F 152,"Feiyuno - a faucet manufacturer from Wenzhou, Zhejiang, China. Mainly produces: all-copper antique-style faucets, shower heads, bathroom hangers, bathroom accessories, and other bathroom hardware products.",Tashkent,https://www.linkedin.com/in/feiyunuo-sanitary-ware-232491354
"WENZHOU GESIDA SANITARY WARE CO., LTD",,,,Uzexpocentre NEC,China,"WENZHOU GESIDA SANITARY WARE CO., LTD",F 48,"Our company is located in Wenzhou, a vibrant city in Zhejiang Province. Specializing in bathroom fixtures, we have been dedicated to high-quality manufacturing for over a decade. Our product range includes basin faucets, shower faucets, kitchen faucets, and more. Our products are primarily targeted at Central Asian markets and have been exported to countries such as Kazakhstan and Uzbekistan.",Tashkent,
"WENZHOU HUPOO PIPE INDUSTRY CO.,LTD",hupoopipe.com,,,Uzexpocentre NEC,China,"WENZHOU HUPOO PIPE INDUSTRY CO.,LTD",K 137,"Wenzhou Hupoo Pipe Industry Co., Ltd is a professional manufacturer of stainless steel press fittings, groove fittings, welded fittings, and water manifolds with the material of stainless steel 304/316L. We have our own big factory with a modern machine line to make high-quality products. We apply more than 10 years of experience and the finest equipment and technology in order to deliver the best quality to the markets, both at home and overseas. Warmly welcome every customer to make a win-win business and we will serve you with all sincerity.",Tashkent,
"WENZHOU JIBO VALVE BALL CO.,LTD.",,,,Uzexpocentre NEC,China,"WENZHOU JIBO VALVE BALL CO.,LTD.",F 10,"Professional source factory of stainless‑steel valve balls, stainless‑steel valves and stainless‑steel pipe fittings & connectors.",Tashkent,
"WENZHOU KALUD SANITARY WARE CO.,LTD",kalud.com,,,Uzexpocentre NEC,China,"WENZHOU KALUD SANITARY WARE CO.,LTD",K 122,"KALUD is a professional faucet manufacturing enterprise which is located at the coastal city of Wenzhou in Zhejiang Province. On the basis of the standardized management, KALUD has established a prefect department system including the production manufacturing, technical design, quality controlling and marketing. We have owned the capability of developing over 50 series, over 1 million PCS of faucets annually. The company products are selling well in domestic and overseas market, with its superior quality and favorable price, highly praised by the customers.",Tashkent,
WENZHOU KASIN VALVE PIPE FITTING CO.LTD,kasinpressfitting.com,,,Uzexpocentre NEC,China,WENZHOU KASIN VALVE PIPE FITTING CO.LTD,F 64,"Kasin company founded in year 2001, have more than 20 years' experience as a professional manufacturer of press pipe system in China. M profile and V profile material is stainless steel or carbon, size 12 up to 168.3 mm, quality approved by dvgw. wras watermark. Ce(4.3)Safety,Healthy and Responsibility is KASIN's vocation.We have 100% inspection before delivery to ensure every pieces are in good quality We also provide best after-sale service in quality and technology.We hope to establish long business relationship on equality and mutual benefit with every customer from the world",Tashkent,
"WENZHOU KOEN SANITARY WARESCO.,LTD",,,,Uzexpocentre NEC,China,"WENZHOU KOEN SANITARY WARESCO.,LTD",F 68,"This bathroom fixture manufacturer primarily engages in the production and sale of sanitary ware, as well as the import and export of goods and technologies. Its flagship brand, ""KOEN,"" specializes in European and retro-style bathroom design solutions, offering a range of bathroom hardware products including faucets, showerheads, hardware accessories, angle valves, floor drains, and more.",Tashkent,
"WENZHOU LOFFREY SANITARY WARE CO., LTD.",loffrey.cn,,,Uzexpocentre NEC,China,"WENZHOU LOFFREY SANITARY WARE CO., LTD.",L 12,"Loffrey sanitary ware Co., Ltd. was established in 2010, our company facility occupies 80 acres and has more than 500 employees. We have succeeded in becoming one of the largest faucet manufacturers in WENZHOU CHINA, with a daily production of over 10,000 faucets. Now our woldwide sales network includes subsidiaries in Russia, Spain, as well as agreements with international retail chains and other partners in over 20 countries. we also have own brand such as LEDEME, LOFFREY, GERHANS, IBERGRIF.",Tashkent,
"WENZHOU WENDAO SANITARY WARE CO,.LTD",,,,Uzexpocentre NEC,China,"WENZHOU WENDAO SANITARY WARE CO,.LTD",G 92,"We are the professional manufacturer in China to produce automatic sanitary ware.Our main products including automatic sensor faucet, automatic urinal flusher.automatic toilet flusher,self closing taps and public bathroom products.",Tashkent,https://www.linkedin.com/company/
"WENZHOU XINQIN INDUSTRY AND TRADE CO., LTD.",,,,Uzexpocentre NEC,China,"WENZHOU XINQIN INDUSTRY AND TRADE CO., LTD.",F 154,"Corporate Strength: We boast a 10,000-square-meter modern production base, employing over 200 staff members and operating 5 production lines. Equipped with dozens of production devices such as punching machines, bending machines, and laser cutting machines, we have established a comprehensive quality management system.",Tashkent,https://www.linkedin.com/company/
"WUXI LVJIE MACHINERY CO.,LTD.",lvjieheatexchanger.com,,,Uzexpocentre NEC,China,"WUXI LVJIE MACHINERY CO.,LTD.",H 36,"Wuxi Lvjie Machinery Co., Ltd. is a comprehensive enterprise specializing in the development, production, and trade of refrigeration equipment and accessories. Its main products include shell-and-tube evaporators, pure titanium evaporators, stainless steel evaporators, corrosion-resistant evaporators, titanium tube heat exchangers, and special-shaped titanium tubes. These products are widely used in cooling and heating applications across various specialized industries, such as electroplating chillers, laser chillers, seafood machines, heat pump units, ice makers, and marine air conditioners.",Tashkent,
"XIAMEN HEDEMAN ELECTRONICS TECHNOLOGY CO., LTD.",,,,Uzexpocentre NEC,China,"XIAMEN HEDEMAN ELECTRONICS TECHNOLOGY CO., LTD.",F 26,"As a high‑tech manufacturer, Hedeman focuses on floor‑heating and fan‑coil thermostats complying with CE‑RED and RoHS standards. Russian‑UI versions are available. Our solid production capacity enables an annual output above 5‑million pieces, alongside customized OEM‑ODM services for Central‑Asia partners.",Tashkent,
"XINJIANG ZHISHENGDA ALUMINIUM CO., LTD.",,,,Uzexpocentre NEC,China,"XINJIANG ZHISHENGDA ALUMINIUM CO., LTD.",F 23,"Xinjiang Zhishengda Aluminium Industry Co., Ltd. was founded in Sep 2019 in Kuytun. It mainly produces bimetallic and aluminium heating radiators. Advanced equipment guarantees stable quality. Taking advantage of geographical location, it develops Russia and Central‑Asia markets with stable sales channels.",Tashkent,https://www.linkedin.com/company/
"XINLEI COMPRESSOR CO., LTD.",xinlei.com,,,Uzexpocentre NEC,China,"XINLEI COMPRESSOR CO., LTD.",K 120,"Established in 2006, with roots dating back to 1996, Xinlei Compressor Co., Ltd. is a listed high-tech enterprise in China, traded under Stock Code 301317. Driven by innovation in air energy technologies, Xinlei provides efficient and reliable solutions across: • Air Compressor Solutions • Magnetic Levitation Centrifugal Solutions • HVAC Solutions With more than 400 granted patents and a global presence in over 100 countries and regions, Xinlei helps customers improve energy efficiency, operational reliability, and long-term lifecycle value. AIR FOR ALL — creating smarter and more sustainable air energy solutions for the world.",Tashkent,https://www.linkedin.com/company/XINLEI Global
YILDIZ POLIETILEN,,,,Uzexpocentre NEC,Türkiye,YILDIZ POLIETILEN,G 62,,Tashkent,
"YUHUAN BEIJINSI FLUID CONTROL TECHNOLOGY CO.,LTD",,,,Uzexpocentre NEC,China,"YUHUAN BEIJINSI FLUID CONTROL TECHNOLOGY CO.,LTD",F 44,"BEIJINSI FLUID focus on the development and innovation of heating system parts and firefighting system parts. We engage in manufacturing various kinds of heating system valve, fire control accessories in high quality and efficient service.",Tashkent,
"YUHUAN DIFEILIN FLUID INTELLIGENCE CONTROL CO.,LTD",,,,Uzexpocentre NEC,China,"YUHUAN DIFEILIN FLUID INTELLIGENCE CONTROL CO.,LTD",K 138,"As a professional global market manufacturer, Yuhuan Difeilin Fluid has been part of the HVAC industry for years. As a brand company, we’re specialized in engineering, manufacturing and sales of intelligent, customized solutions that allows our customers to use resources in smarter ways and set them apart.Our product range includes professional energy-saving thermal actuators, thermostats for underfloor heating and smart home applications for commercial and residential usage.",Tashkent,
"YUHUAN DINGLI TOOLS CO.,LTD",dinglitools.com,,,Uzexpocentre NEC,China,"YUHUAN DINGLI TOOLS CO.,LTD",H 30,"Yuhuan Dingli is the professional manufacturer of different types tools for Pex pipes assembling, including manual press tools, hydraulic clamping tools, electrical clamping tools. So does the expansion and press sliding tools. We have our own team for research and development need. Keeping pace with the times and pursuing innovation are our company's development goals; choosing Dingli means choosing a partner worthy of collaboration.",Tashkent,
"YUHUAN DUN DA VALVE CO., LTD.",valve-suppliers.com,,,Uzexpocentre NEC,China,"YUHUAN DUN DA VALVE CO., LTD.",F 143,"Est. 2009 in Yuhuan, Dunda Valve is a top brass valve maker. We offer quality, large-scale fluid control solutions. Committed to innovation and customer-first service, we are your reliable partner.",Tashkent,
"YUHUAN GUJIE FLUID CONTROL CO., LTD.",yhgujie.com,,,Uzexpocentre NEC,China,"YUHUAN GUJIE FLUID CONTROL CO., LTD.",F 52,"Yuhuan Gujie Fluid Control Co., Ltd. was founded in 2015. It is a professional copper valve enterprise integrating design, manufacturing and sales, located in Yuhuan, the Hometown of Chinese Valves and a sourcing hub for plumbing & heating valves.",Tashkent,
"YUHUAN HENGLI HVAC CO., LTD.",henglihvac.com,,,Uzexpocentre NEC,China,"YUHUAN HENGLI HVAC CO., LTD.",F 42,"HENGLI HVAC Co., Ltd. is a professional manufacturer of copper products, we focus on mixing group for underfloor heating system / manifolds and mixing system / radiator valves / air vent for many years, now we have an R&D team including more than 30 employees which has more than 10 years experiences in HVAC industry, and we can provide design / develop and customization service. now our products have export to many well-known brands which are from Britain/Germany / Italy / Russia / Poland / Spain / France and so on, also we can provide OEM service",Tashkent,
"YUHUAN JIALIDE VALVE CO., LTD.",,,,Uzexpocentre NEC,China,"YUHUAN JIALIDE VALVE CO., LTD.",G 54,"Yuhuan Jialide Valve Co., Ltd. is located in Yuhuan, Zhejiang. Founded in 1990, it specializes in the HVAC and gas sectors, manufacturing brass valves and pipe fittings. With rich experience in copper valve production and strict quality control, it supplies reliable fluid‑control supporting products for customers at home and abroad.",Tashkent,
"YUHUAN PEIFENG FLUID INTELLIGENT CONTROL CO.,LTD",cnpeifeng.com,,,Uzexpocentre NEC,China,"YUHUAN PEIFENG FLUID INTELLIGENT CONTROL CO.,LTD",H 16,"Yuhuan Peifeng Fluid Intelligent Control Co., Ltd is a leading Chinese manufacturer specializing in brass valves and fittings, based in Zhejiang Province. The company offers ODM and OEM services, with products exported to over 30 countries. It emphasizes quality control through pre-production samples and final inspections, ensuring high-quality, durable brass components for diverse applications.",Tashkent,
"YUHUAN PENGQI VALVE CO.,LTD.",xtreme-valve.com,,,Uzexpocentre NEC,China,"YUHUAN PENGQI VALVE CO.,LTD.",k 66,"PENGQI VALVE covers an area of more than 6000 square meters and has 400 staff. Our major market is European countries, such as Germany, Italy, and Spain etc.",Tashkent,
"YUHUAN SIERJIA VALVE CO.,LTD",sierjia.com,,,Uzexpocentre NEC,China,"YUHUAN SIERJIA VALVE CO.,LTD",F 142,"SIERJIA Valve Co., Ltd. is a professional factory specializing in the production of various types of smart water meters, smart ultrasonic water meters and ultrasonic heat meters. Our products are widely used in water treatment system, industrial equipment and so on. With excellent quality and competitive prices, we enjoy a high reputation and recognition in European markets such as Russia, Brazil, Uzbekistan, South Korea,Turkey and Poland. We have a number of advanced fully automated production lines and workshops, as well as a highly qualified and industry-experienced R & D and production team.",Tashkent,
